task_type,estimated_duration,deadline_pressure,time_of_day,energy_level,mood_level,task_familiarity,reward_clarity,consequence_severity,previous_delay_count,environment_noise,device_distraction,social_obligation,friction_score,friction_level
household,90,medium,night,3,4,repeated,unclear,1,2,medium,medium,individual,51.12,medium
personal_admin,6,medium,morning,1,2,new,unclear,6,3,low,medium,work,43.38,medium
finance,8,medium,morning,5,6,repeated,moderate,7,1,medium,medium,college,23.25,low
communication,49,low,afternoon,3,10,new,clear,9,4,low,medium,college,30.83,low
academic,17,medium,afternoon,3,7,new,moderate,4,1,low,low,family,28.37,low
academic,59,low,night,4,6,repeated,unclear,2,6,low,low,college,44.74,medium
academic,36,medium,morning,2,4,repeated,unclear,8,3,low,low,individual,44.98,medium
personal_admin,26,medium,morning,2,7,new,unclear,6,1,low,high,family,56.74,medium
communication,93,low,afternoon,8,10,new,clear,4,6,high,high,individual,30.16,low
finance,95,low,morning,3,6,repeated,moderate,3,0,medium,medium,family,19.43,low
academic,59,high,morning,4,6,repeated,moderate,3,0,medium,high,work,46.81,medium
personal_admin,21,medium,morning,2,2,repeated,moderate,10,3,high,low,college,51.01,medium
health,74,high,morning,5,2,new,unclear,6,1,medium,high,college,68.36,high
academic,111,low,afternoon,9,6,repeated,moderate,9,0,medium,medium,individual,36.87,medium
academic,55,medium,night,9,1,new,clear,1,4,high,medium,family,51.41,medium
academic,84,medium,evening,8,8,repeated,unclear,2,7,medium,high,family,56.52,medium
household,12,medium,afternoon,9,9,repeated,clear,9,1,low,medium,individual,0.66,low
communication,65,medium,afternoon,9,8,new,clear,6,5,medium,high,work,45.32,medium
household,101,low,afternoon,9,10,new,moderate,4,7,low,low,work,16.01,low
household,14,medium,night,10,6,repeated,unclear,2,3,medium,low,college,24.89,low
communication,102,medium,evening,2,10,repeated,clear,7,7,low,high,individual,51.45,medium
academic,23,low,morning,3,1,new,unclear,1,3,high,low,individual,49.24,medium
household,18,low,night,4,8,repeated,clear,1,0,low,high,individual,21.14,low
household,71,medium,evening,1,2,repeated,moderate,1,7,medium,high,college,66.43,high
communication,59,low,morning,6,4,repeated,moderate,3,7,medium,low,individual,24.68,low
health,65,low,afternoon,2,1,new,moderate,4,4,low,low,individual,35.48,medium
academic,60,medium,evening,4,1,new,moderate,7,6,high,medium,work,76.17,high
communication,67,low,morning,5,5,new,unclear,5,4,medium,medium,family,33.68,low
communication,109,low,afternoon,4,6,repeated,unclear,2,6,low,medium,individual,42.58,medium
academic,91,medium,evening,6,9,new,moderate,10,7,low,medium,college,68.37,high
communication,108,low,evening,10,3,new,clear,3,4,medium,medium,college,38.43,medium
academic,15,medium,night,10,2,repeated,unclear,1,4,low,high,individual,52.97,medium
academic,51,low,morning,6,2,repeated,unclear,1,1,high,medium,college,24.86,low
personal_admin,10,high,evening,9,8,new,unclear,1,4,low,medium,work,45.68,medium
personal_admin,38,low,night,9,9,repeated,clear,10,5,high,low,individual,13.31,low
health,69,low,evening,1,8,repeated,clear,3,6,medium,high,individual,47.89,medium
household,103,medium,evening,10,3,repeated,clear,1,4,low,low,family,10.15,low
academic,93,low,morning,8,10,repeated,unclear,1,2,high,medium,individual,17.16,low
finance,68,medium,evening,5,10,new,unclear,4,6,medium,high,family,61.4,medium
household,97,medium,evening,1,8,repeated,moderate,10,7,medium,low,college,64.72,medium
academic,91,medium,morning,5,10,repeated,moderate,7,5,low,medium,individual,33.9,low
communication,86,low,night,6,6,repeated,moderate,2,4,low,medium,individual,34.59,low
academic,82,high,night,7,6,repeated,moderate,10,3,low,medium,individual,56.97,medium
personal_admin,85,medium,afternoon,3,9,repeated,unclear,5,6,medium,medium,individual,67.41,high
household,70,low,evening,9,8,repeated,unclear,10,5,medium,low,work,33.41,low
finance,35,low,evening,3,1,repeated,moderate,10,4,medium,low,individual,54.78,medium
household,87,medium,afternoon,1,7,repeated,unclear,6,7,medium,medium,work,64.25,medium
communication,100,high,afternoon,3,6,repeated,unclear,3,3,high,medium,individual,72.51,high
communication,66,low,night,7,5,repeated,unclear,6,4,low,medium,individual,50.37,medium
academic,58,high,afternoon,10,3,new,moderate,8,5,high,low,individual,62.93,medium
personal_admin,96,medium,afternoon,1,1,repeated,moderate,9,0,high,medium,individual,65.27,high
health,109,low,morning,4,8,repeated,moderate,1,5,medium,low,work,24.08,low
personal_admin,12,medium,afternoon,7,3,new,clear,4,4,low,low,work,30.79,low
personal_admin,46,low,afternoon,3,7,new,moderate,5,1,medium,low,family,24.35,low
communication,45,high,night,7,6,repeated,unclear,6,0,medium,medium,family,53.05,medium
personal_admin,63,medium,afternoon,4,2,repeated,moderate,9,2,high,high,individual,62.98,medium
academic,44,low,evening,7,2,new,moderate,2,2,low,medium,individual,44.94,medium
academic,107,high,afternoon,9,3,repeated,clear,8,7,medium,medium,work,44.42,medium
academic,26,low,evening,10,3,repeated,moderate,6,4,medium,low,individual,31.55,low
household,28,high,evening,5,2,new,clear,8,7,low,medium,college,57.12,medium
household,42,low,night,3,8,new,moderate,1,5,low,medium,college,30.6,low
household,6,medium,morning,1,1,repeated,clear,4,7,medium,high,work,57.84,medium
health,45,medium,night,3,3,repeated,unclear,2,3,high,high,individual,70.74,high
household,109,medium,afternoon,4,1,new,unclear,2,6,low,low,work,63.35,medium
household,23,low,night,2,4,repeated,moderate,6,5,medium,low,family,36.81,medium
communication,109,high,night,4,1,new,moderate,6,6,medium,high,family,103.03,high
academic,6,low,afternoon,5,1,new,moderate,3,3,low,high,individual,47.48,medium
health,96,low,evening,8,4,new,moderate,5,7,low,medium,college,52.02,medium
academic,100,low,night,5,6,repeated,moderate,6,0,medium,medium,work,37.45,medium
personal_admin,66,medium,afternoon,2,6,repeated,clear,8,2,low,low,family,28.01,low
health,87,medium,morning,1,4,new,moderate,5,2,medium,medium,family,58.15,medium
academic,20,medium,afternoon,9,7,repeated,unclear,7,2,low,medium,college,18.96,low
