feature,coefficient,absolute_value
cat__deadline_pressure_low,-1.9485340981557078,1.9485340981557078
cat__reward_clarity_clear,-1.9241702641105463,1.9241702641105463
cat__device_distraction_low,-1.6482160011279636,1.6482160011279636
cat__time_of_day_morning,-1.642126981472224,1.642126981472224
cat__deadline_pressure_high,1.5275248937315329,1.5275248937315329
cat__reward_clarity_unclear,1.5029833009319795,1.5029833009319795
num__previous_delay_count,1.490252960317423,1.490252960317423
num__energy_level,-1.3901026863901003,1.3901026863901003
cat__time_of_day_night,1.35923840765338,1.35923840765338
cat__environment_noise_low,-1.3488126370693805,1.3488126370693805
cat__device_distraction_high,1.3053567466337344,1.3053567466337344
cat__task_familiarity_repeated,-1.2349902997192308,1.2349902997192308
num__mood_level,-1.115267073031323,1.115267073031323
cat__environment_noise_high,1.0044461052789202,1.0044461052789202
num__consequence_severity,0.96708050085653,0.96708050085653
