feature,coefficient,absolute_value
cat__reward_clarity_clear,1.9161161691352524,1.9161161691352524
cat__deadline_pressure_high,-1.864991904892848,1.864991904892848
cat__deadline_pressure_low,1.826990025828109,1.826990025828109
cat__reward_clarity_unclear,-1.7515508936815107,1.7515508936815107
cat__device_distraction_high,-1.5741432696253357,1.5741432696253357
num__previous_delay_count,-1.5297543781817526,1.5297543781817526
cat__time_of_day_morning,1.521114839627163,1.521114839627163
cat__time_of_day_night,-1.5190178727753414,1.5190178727753414
cat__device_distraction_low,1.4933035256930243,1.4933035256930243
num__energy_level,1.4109488717336176,1.4109488717336176
cat__environment_noise_high,-1.1861037851347898,1.1861037851347898
num__mood_level,1.1640542262747873,1.1640542262747873
cat__environment_noise_low,1.1144318097512358,1.1144318097512358
cat__task_familiarity_new,-1.0154967051261177,1.0154967051261177
cat__task_familiarity_repeated,0.9762985983455728,0.9762985983455728
