feature,coefficient,absolute_value
cat__reward_clarity_moderate,0.3391896271574591,0.3391896271574591
cat__deadline_pressure_high,0.33746701116131833,0.33746701116131833
cat__task_familiarity_new,0.33711961350865655,0.33711961350865655
cat__social_obligation_college,0.28393093068492037,0.28393093068492037
cat__device_distraction_high,0.268786522991595,0.268786522991595
cat__task_familiarity_repeated,0.25869170137361486,0.25869170137361486
cat__reward_clarity_unclear,0.2485675927495204,0.2485675927495204
cat__environment_noise_low,0.23438082731809623,0.23438082731809623
cat__time_of_day_evening,0.23162959791799087,0.23162959791799087
cat__environment_noise_high,0.18165767985586934,0.18165767985586934
cat__environment_noise_medium,0.17977280770831292,0.17977280770831292
cat__device_distraction_medium,0.17211231645577516,0.17211231645577516
cat__time_of_day_night,0.15977946512196478,0.15977946512196478
cat__device_distraction_low,0.15491247543492118,0.15491247543492118
cat__social_obligation_individual,0.1378234589049801,0.1378234589049801
